,tweets
39,@Flipkart @flipkartsupport If you can't keep a promise to customer you should not say it in the first place. I was told that my order will not be picked up and refund will be processed but still am I getting emails calls for the return pickup request. What is this? https://t.co/eiZjILG1dv
40,"RT @IndiaPOCO: Get Xceptional audio &amp; visual Xperience with Widevine L1, Dual Speakers and High-Res Audio on #POCOX3.

Know more: https://t…"
41,"@Flipkart delivery boy physically assault me and I have raised the complaint several time they are saying someone will call me back, but I haven't received any call yet, shame on  @_Kalyan_K @_sachinbansal"
42,@flipkartsupport From flipkart i have purchase lee cooper jeans which was delivered on 25/11/2020  but when i open the product i see different brands pepe jeans .i SoC for 20 minute.
43,@flipkartsupport Call me today itself i have provided a alternate number call me asap @flipkartsupport @Flipkart
44,"RT @GovindD79419813: @CMOfficeUP @myogiadityanath @Flipkart @navneetsehgal3 @ShishirGoUP Honorable Mr. Yogi ji, Flipkart a kind of e-Commer…"
45,@flipkartsupport Update from Flipkart Customer Service for [Incident: IN2011201136363347005] no reply no resolving the problem very much disappointed looks like it has been a fraud with me
46,"RT @IndiaPOCO: Get a boost for every task you do with @qualcomm_in Snapdragon™ 732G processor on the #POCOX3.

#SmoothAF Xperience guarante…"
47,@flipkartsupport I don't want any call from Flipkart now...
48,"@Damral1337 @Flipkart @FlipkartSellers @flipkartsupport @ConsumerCourt_ @consumercourtin @PMOIndia @Uppolice I don't know if its a fraud committed by delivery agent, fpkt, or seller. It doesn't matter to me. All I know is I am a victim &amp; I need justice &amp; social media is one of the best way to get the same in today's time. It is my right to information &amp; I will use any means to get it."
49,"RT @ayshahabib11: Flipkart Video posted Rashami's pic ❤. Do leave some nice comments. 

Link : https://t.co/Plro72MD43

#RashamiDesai https…"
50,"@IndiaPOCO @Flipkart Interesting
#BlackFriyay #GameChang3r #POCOC3  @Flipkart"
51,@motorolaindia @Flipkart Don't ditch the compass sensor on this please!!
52,I have ordered Samsung F41 on 11 th of November flipkart team is promised me to deliver the Product on 16th I have raised the issue many time flipkart team is told me to wait till 26th of november but still POD and Ref number is showing incorrect in the Flipkart application https://t.co/w6qxkbIfS4
53,@rahulsharma @Micromax__India I can't see this mobile in flipkart. Still it is showing Notify. Very disappointed. Waited 1 month for this..Please Rahul sir customers ke time ko bhi aap samjhiye mai aaj 11 baje se hi Waite kiya but koi result Nahi mila.Aisi koi problmen ho to please aap pahle inform Karen .
54,What I ordered and what I received! 😒 #HereWeGoAgain #Amazon #OnlineShopping #PoorService #Flipkart  @AmazonHelp @amazonIN https://t.co/nKZTAfq75L
55,"@both_rakesh To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^AX (2/2) https://t.co/5DoqNu2BgV"
56,@rahulsharma I can't see this mobile in flipkart. Still it is showing Notify. Very disappointed. Waited 1 month for this..Please Rahul sir customers ke time ko bhi aap samjhiye mai aaj 11 baje se hi Waite kiya but koi result Nahi mila.Aisi koi problmen ho to please aap pahle inform Karen .
57,"#Flipkart...
You can fool some people sometimes.
But you can't fool all the people all the time.
So now we see the light (what you gonna do?)
We gonna stand up for our rights (yeah, yeah, yeah)

#BobMarley
#Flipkart Tu Chor Hai..."
58,"@humayun_royal To ensure that your Flipkart account information is safe, please DM us by clicking on the link below. ^RI (2/2) https://t.co/5DoqNu2BgV"
59,@Flipkart after plenty of efforts by me got a registered complaint and been told that will resolve the problem within 48 hours of the given time but after 48 hours got a message we need more two days to resolve the problem but still there is no call from Flipkart this is fraud...
60,"Enjoy an easier control over your music and camera with a tap on the super smart #realmeWatch. Grab it now at an exciting price* only during the #realmeDays sale till 28th November.
*T&amp;C Apply
Head here: https://t.co/VXqfMt2bvQ https://t.co/i4OsWc2aOW"
61,"yesteday I recd a call from flipkart,says me please order again same model ,difference of rate of rs 4000-5000, i will transfer to your fipkart wallet,very stupid idea,
order cancelled your side without any reason,if you will send my order i will accept this and matter will close"
62,@itslosupotap @krrishReloaded @motorolaindia @Flipkart Yeah bro you didn't mention anything about power!!🤣🤣
63,@Flipkart any chance of getting Harry Potter Minalima edition back in stock ????
64,"@flipkartsupport So I should spend more of my money in effort to get back my money that #Flipkart owes me but is refusing to refund????
What level of #forgery and #fraud is this my lord?"
65,@Flipkart many times raised return request for this order I received different product why rejecting my replacement https://t.co/O71uMYFQ9e
66,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport OF COMMUNICATION HAS BEEN BLOCKED BY AMAZON.
67,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport OR PHONE TO GET THE INSTANT RESOLUTION AND INFORM ABOUT THE SAME DUE TO CALLBACK SERVICE NOT AVAILABLE &amp; CURRENTLY CHAT IS UNAVAILABLE. @JeffBezos COULD YOU PLEASE LET ME KNOW WHY THESE SOURCES
68,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport A WARNING NOTICE AS WELL REGARDING THE ISSUE HOWEVER I DENY THIS ALLEGATION AND RESPONDED TO EMAIL. IT HAS BEEN MORE THEN A MONTH WHEREIN, I COULD NOT CONNECT WITH SELLER SUPPORT TEAM VIA CHAT OR"
69,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport CORRECTLY. EVEN I HAVEN'T RECEIVED A SINGLE CALL FOR THE SAME YET. I AM VERY DISAPPOINTED WITH SAFE-T CLAIM TEAM WHO IS NOT DOING THERE WORK IN A PROPER MANNER. EVEN THOUGH I HAVE RECEIVED
70,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport WHICH WAS USED INTO THIS EMAIL. I THINK BASIS ON THE FIRST EMAIL SENT BY YOUR EXECUTIVE WHO MADE THIS MISTAKE WHEREIN HE/SHE DID NOT VALIDATE THE IMAGE TAKEN DATE AND RETURNED TO SELLER DATE
71,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport CLAIM STATING IMAGE ABUSE VERIFIED AND WE MAY NOT REPLY TO FURTHER ON THIS EMAILS REGARDING THIS CLAIM. HOW DISSATIFYING THIS IS WHEREIN, I AM NOT SATISFIED WITH THE RESOLUTION AND THE STATEMENT"
72,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport HAVE CHECKED THE IMAGE TAKEN DATE, WHICH SAME DAY THE RETURN PACKAGE WAS RECEIVED. I HAVE APPEALED THE REJECTION OF SAFE-T CLAIM AGAIN AND INFORM THE SAME, HOWEVER AGAIN YOUR TEAM HAS DENIED THE"
73,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport DENIED THE CLAIM. WHEN I HAVE APPEALED THE REJECTION DUE TO IMAGE WHEREIN, SAFE-T CLAIM TEAM HAS MENTIONED THAT PICTURE WAS TAKEN BEFORE THE RETURN DATE, HOWEVER, I THINK NONE OF THE EXECUTIVE"
74,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport AND T-SHIRT HOWEVER IN THE RETURN PACKAGE THE T-SHIRT IS MISSING. CUSTOMER HAS ONLY RETURNED THE CAP IN THE PACKAGE. I FILLED THIS CLAIM ON 17TH OCT 2020 AND AFTER 1 MONTH SAFE-T CLAIM TEAM HAS
75,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport OBSERVED THAT @amazon TEAM DO NOT BOTHER TO SUPPORT THEIR REGISTERED SELLERS. I HAVE FILED A SAFE-T CLAIM WHEREIN THE CUSTOMER HAS RETURNED THE ORDER. THE FULFILLED ORDER WAS CONSIST OF ONE CAP
76,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport I DON'T KNOW WHY DO I HAVE TO TAKE SUPPORT OF TWITTER TO GET MY SAFE-T CLAIM RESOLVED FROM AMAZON. THIS IS THE SECOND TIME WHEREIN I HAVE TO POST THIS ISSUE ON TWITTER BECAUSE THIS HAS BEEN
77,@IndiaPOCO @Flipkart https://t.co/XNQeWw3AdC MICROSOFT AZURE SAID THAT WE DON'T KNOW WHEN PUBG MOBILE INDIA WILL RELEASE 🔥🔥🔥🔥🔥
78,@Flipkart Ordered a sleepyhead flip 6inch on 9th of Nov for my new home made a payment by cc ordered expected on 20nov but the seller cancelled the order on 17nov very disappointed and been told to reorder the same product that's is again  rs2000 costlier then what I ordered....
79,"@help_delhivery 
@delhivery 
@amazon 
@Flipkart 

Finally @delhivery courier return my package without contact to me because i don't go his office for collect the delivery boy say me we don't came at your address if you want then came and collect else we return your package..🙏🏻🙏🏻"
80,"And of now today I get a call saying ""as a token of apology"" we will refund it as a gift card in ur wallet. Remember this is MY money which you are refunding. I want it in my Bank acc thats what we agreed on! #flipkartscam #refundscam #flipkart"
81,@rahulsharma I couldn't see it listed on @Flipkart  aa i was stalking continuously from 11:55 to 12:10. What was it
82,@PrayagrajKanhar @motorolaindia @Flipkart Helpmebuya5gphone@niravmodi.in re donate kra
83,"Are you dessert lover who keeps eyeing on sweet delicacies? If yes, then here's a #DodhaBarfi for you which will satisfy your   sweet tooth cravings. Enjoy richness in every bite! Now available on @amazon &amp; @flipkart @lbb #foodie #ordernow https://t.co/evhIKdxCcw"
84,"Flipkart Black Friday sale 2020: Deals on iPhone XR, iPhone SE, Galaxy S20+ you shouldn't miss
 https://t.co/j6w6Gp0QJQ"
85,"@Flipkart @flipkartsupport You guy's agree to get me a refund on 1st of Nov and ask me 7 days to process it. Now its been 15+ days that you haven't processed it, everyday you call me asking about the refund without asking the seller if he has processed (1/2)"
86,"@krrishReloaded @motorolaindia @Flipkart Where did I said 750g is underpowered to 765g. Ibknow all of this. Thanks btw. 

They said ""most affordable 5g phone"" suggesting it will be provided under the Nord. Please read fully before jumping into conclusion."
87,"@fcmid005 @Flipkart yes, today it is shipped. finally."
88,@advani_kiara @shivrajsolanke_ @Flipkart  plz provide her New Herein 👠
89,"Its been a week @Flipkart and no reaponse from you guys, i doubt if you people even care of a seller loses. You people just want your profit anyhow even if seller loses https://t.co/XEQGW45hxZ"
90,@AndColorPockeT Flipkart par available hai
91,"RT @morepra: I have brought ""complete mobile protection 1 year plan from flipkart"", i raised request with Jeevas for screen damaged issue,…"
92,The only thing we can blame here is to @Flipkart or @Micromax__India coz you 2 can be only responsible for making these kinda damages to device of people who are trusting on the Company again @rahulsharma https://t.co/79u3yMZXPb
93,"@ArunSMaxfac @Flipkart To register your grievance, please call at 14404
or you can visit our website  
https://t.co/4Qm7Y2lBRl"
94,"*15L Crompton Geyser at 5300 | Flipkart selling at 5999*

https://t.co/4I3CQkrxSt"
95,@Flipkart can we look into this on priority ?
96,@IndiaPOCO @Flipkart We need Poco F2 plz
97,"@flipkartsupport pls don't purchase any product in flipkart... I ordered canon camera  but received wrong product  , and I asked to replacement , they accept and make the replacement but got same wrong product again ,Very disappointed with flipkart , No proper reponse from flipka"
98,"RT @bhargav__m: Guys don't book flights tickets from @Flipkart travel. 
Had a terrific experience. No refund from @Flipkart even though the…"
99,"Micromax in 1b to Go on Sale in India for First Time Today via Flipkart, Company Site: Price, Specifications https://t.co/DKXT0ekZRc"
100,"@Flipkart @flipkartsupport You guys are so much adamant and unprofessional that you even bothered and give damn to customer response, every day you are just delaying the response with a new excuse..#really pathetic customer care service https://t.co/uWzAIzs0L3"
101,"#BlackFriyay deal on a Thursday!

Explore the best deals and get the #GameChang3r #POCOC3 at an amazing price on @Flipkart. https://t.co/NParWAdz1Z"
102,Please call me today for my concern it will be good for me as i am available today @flipkartsupport @Flipkart
103,"@Saviourwins In future, please ensure that you share your Flipkart account details via DM for the privacy of your account by clicking the link below. ^TY (2/2) https://t.co/5DoqNu2BgV"
104,#MusicToBeMurderedBy CD audio is still their in the @Flipkart app *-*
105,"GLUN Waterproof Cotton Kitchen Apron with Front Pocket (Multicolour) Set of 2
    MRP: ₹ 899.00 
    Sale: ₹ 109.00
    You Save: ₹ 790.00 (88%) 
    . https://t.co/4crJYrCi5X
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #f… https://t.co/XuzrFUzmMV"
106,"@gizmoddict Bro, I don't have any problem in asking sorry
I said the phone should be supported because of the Initial positive reviews that I saw on flipkart

so I though its a good phone"
107,"Lifelong Glide 1200mm Ceiling Fan, White (High Speed, 2 years Warranty, ISI Certified)
    MRP: ₹ 1,600.00 
    Sale: ₹ 999.00
    You Save: ₹ 601.00 (38%) 
    . https://t.co/CgEjuTX5wY
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart… https://t.co/IOZ1fq8HCq"
108,"Lifelong Glide 1200mm Ceiling Fan, Brown (High Speed, 2 years Warranty, ISI Certified)
    MRP: ₹ 1,600.00 
    Sale: ₹ 999.00
    You Save: ₹ 601.00 (38%) 
    . https://t.co/NUnInoyiCe
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart… https://t.co/RgZ6cKmYoA"
109,"Signoraware Hyper Borosilicate Glass Bottle,550ml, Clear
    MRP: ₹ 385.00 
    Sale: ₹ 140.00
    You Save: ₹ 245.00 (64%) 
    . https://t.co/Yzf4MKyupu
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali … https://t.co/ZI7PVcGcOL"
110,"Amazon Brand - Symbol Men's Solid Regular fit Half Sleeve Polo
    MRP: ₹ 999.00 
    Sale: ₹ 174.00
    You Save: ₹ 825.00 (83%) 
    . https://t.co/zVUJfcRZYc
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #d… https://t.co/eQqfGUMoaA"
111,"Nivia N-715GR Oslar Sipper Sports Bottle, 425 ml (Green)
    MRP: ₹ 300.00 
    Sale: ₹ 131.00
    You Save: ₹ 169.00 (56%) 
    . https://t.co/qhGRVZjmX1
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali … https://t.co/IySa5CR4Zm"
112,"Chromozome Men's Cotton T-Shirt
    MRP: ₹ 559.00 
    Sale: ₹ 199.00
    You Save: ₹ 360.00 (64%) 
    . https://t.co/YY87Cxkewx
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadgets #products #shopp… https://t.co/m68eU3j61w"
113,"Our Shop Acupressure Sujok Wooden jimmy
    MRP: ₹ 199.00 
    Sale: ₹ 50.00
    You Save: ₹ 149.00 (75%) 
    . https://t.co/Hs23WhjEej
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadgets #products… https://t.co/m5I3VYQ0VM"
114,"Acupressure Magnets Pyramid Relief Mat - Small
    MRP: ₹ 299.00 
    Sale: ₹ 55.00
    You Save: ₹ 244.00 (82%) 
    . https://t.co/uFmR8QE91P
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadgets #p… https://t.co/OrHZHfUdon"
115,"Shri &amp; Sam Aluminium Mini Fry Pan Aluminum Non-Stick Omelette, 300 ml, Red
    MRP: ₹ 499.00 
    Sale: ₹ 359.00
    You Save: ₹ 140.00 (28%) 
    . https://t.co/yup7BeQB2f
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #fest… https://t.co/uBV6la9zmY"
116,"Prestige Tru-Edge Kitchen Vegetable Knife
    MRP: ₹ 65.00 
    Sale: ₹ 43.00
    You Save: ₹ 22.00 (34%) 
    . https://t.co/R2Xz9x2tNj
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadgets #products… https://t.co/7ZeHhKFudA"
117,"Puma 10 cms Sole Backpack
    MRP: ₹ 1,999.00 
    Sale: ₹ 448.00
    You Save: ₹ 1,551.00 (78%) 
    . https://t.co/CL85fyS2Me
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadgets #products #shoppin… https://t.co/PfYLDGOV8I"
118,"Home Candy Beautiful Roses Microfiber Double Bed Sheet with 2 Pillow Covers
    MRP: ₹ 799.00 
    Sale: ₹ 227.00
    You Save: ₹ 572.00 (72%) 
    . https://t.co/SbJVeUOhCC
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #fes… https://t.co/qZLyzFVoES"
119,"Iveo Melamine Dinnerware Set, 12-Pieces, Shimmer Gold Orange
    MRP: ₹ 1,880.00 
    Sale: ₹ 719.00
    You Save: ₹ 1,161.00 (62%) 
    . https://t.co/YmDtFpU5bT
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats … https://t.co/VL9XrkB4cm"
120,"Celebrino Electric 471 B Hair Curler Iron For Women
    MRP: ₹ 1,999.00 
    Sale: ₹ 249.00
    You Save: ₹ 1,750.00 (88%) 
    . https://t.co/jo1OgoIBD5
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #… https://t.co/KqaoxvFPqr"
121,"Lifelong 4 mm Thick and Anti-Skid Yoga Exercise Mat with Carrying Strap for Gym Workout
    MRP: ₹ 999.00 
    Sale: ₹ 228.00
    You Save: ₹ 771.00 (77%) 
    . https://t.co/UpWCkT1rvD
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart … https://t.co/9YWCN7aMMg"
122,"Skybags Vivid 01 Blue 33 ltrs Laptop Backpack
    MRP: ₹ 2,690.00 
    Sale: ₹ 1,034.00
    You Save: ₹ 1,656.00 (62%) 
    . https://t.co/tMKFqZHqsl
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwali #gadg… https://t.co/J4C5PvmIZK"
123,"Minions Polyester 21 cms Blue School Backpack (MBE-MIN313)
    MRP: ₹ 599.00 
    Sale: ₹ 173.00
    You Save: ₹ 426.00 (71%) 
    . https://t.co/sB2LzY2GV7
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart #amazon #festivetreats #diwal… https://t.co/kzdzneOPnO"
124,"Hoom by HMI 21 ltrs 16 Inch Classic Faux Leather Backpack with Secure Zippers, Black
    MRP: ₹ 1,995.00 
    Sale: ₹ 238.00
    You Save: ₹ 1,757.00 (88%) 
    . https://t.co/EIlskTlDWN
click above to find best deals and offers 
#deals #offers #cashback #discount #flipkart… https://t.co/zNYZkXEOIF"
125,@flipkartsupport @Flipkart  I was not notified when #pixel4A was available today. I have no idea what's with this pixel stuff with flipkart. You just cannot handle this and have got no good reason to appreciate this. Ridiculous!!
126,@Flipkart Don't purchase any thing from flipkart .they send different item. if u order lee cooper jeans then they send pepe jeans brands with oled item and different mrp tages very bad experience in 2 year
127,"This was hilarious !! 😂😂😂 @kkundrra

Watch ""Tejasswi gets upset over Karan calling her fat!| Ladies v/s Gentlemen | Flipkart Video​""

https://t.co/v6pXnA1Pjb"
128,"Recently my mom ordered cream from #Flipkart. We received the order today, the product was damaged, broken seal, half empty and looks like a dosa batter instead of cream. 
Now we don't have an exchange, return or refund policy for this order. No place to register a complaint. https://t.co/fmCaZL9Cso"
129,"Micromax in 1b to Go on Sale in India for First Time Today via Flipkart, Company Site: Price, Specifications https://t.co/KkxLbKe9Ih"
130,"Shipped: Your MarQ by Flipkart 6 kg ... with order ID OD120186002679422000 has been shipped and will be delivered  on Tuesday, Nov 17, 2020 Tracking link for your shipment https://t.co/fC6gBNq92X will be activated within 12 hours. https://t.co/h46EYQvo64"
131,"Flipkart Black Friday Sale On Mobiles.

https://t.co/Zs7QI2Gj44"
132,@krrishReloaded @motorolaindia @Flipkart That's so cool and same as 662 and 665 does as @POCOGlobal @anguskhng announced that 662 outbeats 665 in antuntu benchmarks.. so good to hear that ❤️😃😅😅
133,"@anshuldureja123 As our Twitter page is visible to the public, in the future, we’d recommend you to share your Flipkart account related information with us via the link below to assist you further. ^AE (2/2) https://t.co/5DoqNukc8t"
134,@pratitprangyada @flipkartsupport @Flipkart @Walmart @NikonIndia @_Kalyan_K @Flipkart Focus on your customer query and solve with high priority rather selling fake promising product else flipkart becomes F#lipkart
135,@Flipkart dont purchase any thing from flipkart they send if you order lee cooper jeans they send brands pepe jeans with oled item.
136,"RT @MadhavSheth1: ✔️65W SuperDART Charge
✔️MediaTek Helio G95 Gaming Processor
✔️90Hz Ultra Smooth Display

#realmeNarzo20Pro is back with…"
137,"RT @manukumarjain: 📣 The BIGGEST deals on the BEST #Redmi products are now LIVE! 🔥

Mi fans, ready you shopping carts! #BlackFridaySale is…"
138,"@Aaditya67696526 To ensure that your Flipkart account information is safe, please continue via DM by clicking the link below, for further assistance. ^UR (2/2) https://t.co/AVMrxu8df1"
139,"@AxisBankSupport i have two credit card of axis bank.

1st neo card &amp; 2nd axis flipkart card.
but in you axis bank application or even on net banking their is no any update of my credit cards. i am not satisfied with axis bank service.

So, Please Help To Resolve My Concern.."
140,@PubGKingXd @flipkartsupport @Flipkart Maybe your issue was different.
141,@Aaditya67696526 Sorry to let you know that your order was cancelled by the seller as they can only fulfil orders for a limited quantity of this item. This is done to make sure that all customers have an equal opportunity to buy the item on Flipkart. Hope you understand. (1/2)
142,"@flipkartsupport @Flipkart @flipkartsupport ekart logistics is just sending the order to gurgaon, daruhera, new delhi 

Just not delivering it. 

What the hell they are consuming? I want that more than the product. Seriously. 😂 https://t.co/ZNUEoRPKB8"
143,"@Flipkart order id OD120204256286976000, already replacement done. Again received wrong type of item. So frustrating. Please warn this type of seller. https://t.co/xEIRnZyu2c"
