,tweets
25,"Rem. No. 09 @snapdeal  Despite of repeated reminders, the refund is still awaited for a prepaid consignment undelivered  &amp; cancelled. Very disgusting. @snapdeal definitely needs a thorough  overhauling in total. 8178082002."
26,@ShreyaD50003619 Getting this checked with the concerned team and will update you. Thanks! Avi
27,"We are manufacturers of Ayurvedic product plants in healthcare, skincare, body care, and hair care. Bring the purest essence to enhance your health and duty.
Visit our shop at:-
https://t.co/vas5R7WIOM

https://t.co/jj9kPHWV0u

https://t.co/EERyHaxM6x

JEEVAN JYOTI AYURVEDA https://t.co/5HkvsFeIgK"
28,"We are manufacturers of Ayurvedic product plants in healthcare, skincare, body care, and hair care. Bring the purest essence to enhance your health and duty.
Visit our shop at:-
https://t.co/vas5R7WIOM
https://t.co/jj9kPHWV0u
https://t.co/EERyHaxM6x

JEEVAN JYOTI AYURVEDA https://t.co/irPLFeaU3n"
29,"@one_by_two This is distasteful Mr. Khatri. I get it you're referencing to the Snapchat/Snapdeal snafu and likes of it. But this is a lowkey sensitive issue to take a dig at? Also denigrating apna desh, seems in poor taste. I love your tweets but, this got me offended"
30,@snapdeal @Snapdeal_Help Pement may ACnambar  me dal do  pliz
31,"@DgtlQuant Please ""Private Message"" us your contact no. by clicking on the link given below and we'll get in touch with you to discuss this. Thanks! Sia  https://t.co/1qRWCpRlvq"
32,@Snapdeal_Help It is not question of responding to lucky draw. it is the question of customer's data getting compromised at your end.
33,"@DgtlQuant Hi! Please do not respond to any Phone Call/Email/SMS/Letter claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Sia"
34,seems @snapdeal customer data is compromised by an attack or they are selling. Getting calls from marketing guys and they have full information on my transactions that are done by me. @snapdeal does not clarify inspite of approaching support. Buyers be cautious
35,"@Spiritual_Sri Hi! Apologies for the inconvenience caused. We’ve processed the refund against your order. Do keep us posted in case of any further assistance, we'll be happy to help you. Thanks! Shreya"
36,"@dipaaak_N Hi! Apologies for the inconvenience caused. Please share your seller ID with us via ""Private Message"" by clicking the below link and we'll get in touch with you to discuss this. Thanks! Sia  https://t.co/1qRWCpRlvq"
37,"@snapdeal we have seller account on snapdeal. and want to close immediately effect.. seeing your unethical way of business and take completely unnecessary charges.

help me close it."
38,"Bought something share with us the  opening of it , tell us the usage of your product and discarding of the package, win prize #unpackandwin #uxlivinglab #fun #openinnovation @snapdeal https://t.co/jKuLxQI9WB"
39,@kkgauravIT1983 Hi! Please “Private Message” us your contact no. by clicking on the link given below and our team will get in touch with you. Thanks! Shreya  https://t.co/1qRWCpRlvq
40,"@Bhuradas7 Hi! Sorry to disappoint you. Please elaborate on what went wrong via “Private Message” by clicking the below link. We’d like to check and get it right for you. Thanks! Avi
https://t.co/1qRWCpRlvq"
41,@snapdeal Fake app
42,"@Aamirhasan01 Hi! Sorry to disappoint you, something seems off.  Please share your concern along with the order ID via “Private Message” by clicking the below link and we'll help you out. Thanks! Shreya  https://t.co/1qRWCpRlvq"
43,"Biggest fraud in India by Obi Worldphone in Dec 2016 by Snapdeal
#Snapdeal
#FraudObiWorldphone"
44,@Prasoon_Mathur Your concern has already been escalated and you will be contacted by our team at the earliest. Thanks! Avi
45,"@Prasoon_Mathur We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks! Avi  https://t.co/1qRWCpRlvq"
46,@Prasoon_Mathur Hi! We sincerely regret the experience you have been through. This should not have happened. I'll get this checked immediately and will ensure that this is sorted out on priority. Thanks! Avi
47,"@snapdeal is selling used surgical masks(potentially infected)that could be the reason of sudden spike in infection rate in NCR @AmitShah @ArvindKejriwal please investigate, trace all orders &amp; take action as it could be a terrorist activity to spread pandemic. Ord Id-38083195965"
48,@megirish2001 @kiranhsk2008 I have also booked it on snapdeal yesterday. Maybe will be delivered on 28-29th
49,@megirish2001 @kiranhsk2008 Maam get it on snapdeal. It's @194₹ whereas on Amazon and flipkart it's 295₹
50,"@AmazonHelp Colour blinded @amazonIN @amazon redeliver the same colour product instead of the black colour.What a shit Amazon has https://t.co/kBS5HulumM the time u deliver the right product, the kid will be grown up.@Flipkart @snapdeal @ndtv @ndtvindia @ConsumerReports @FinMinIndia @CimGOI"
51,"@flipkartsupport If it possible plz cancel the order 

I will try with @amazonIN @snapdeal"
52,"RT @SirPareshRawal: Hello Amazon, Flipkart, Snapdeal and all the other online merchants, if you are selling Chinese goods, kindly ensure th…"
53,"India’s most trusted E-commerce company Annova India serving their most trending JVC Headphone products on Amazon with special offers.
Shop now : https://t.co/2GZmgM8HTx
#Amazon #AmazonIndia #OnlineSelling #ecommerce #OnlineShopping #Shopping
#DigitalShopping #Flipcart #Snapdeal https://t.co/utWEcoz7cD"
54,@ShreyaD50003619 We sincerely regret to know this. We are getting this checked and will ensure this is sorted out on priority. Thanks! Karan
55,"Like always, another chain of fake orders by @Snapdeal_Help @snapdeal suborder id 44178878640, 44182814273, 44181557244, 44177456583, 44180848218, 44176933783, 44178201303, 44181854945. Cancel these self created fake orders by @snapdeal"
56,@PavanSh64372194 Please allow us sometime. We will connect with you at the earliest and help you out. Thanks! Karan
57,@Snapdeal_Help When I have return ur thing why are not refund Ing me
58,@PavanSh64372194 So sorry to disappoint you. We will connect with you at the earliest and help you out. Thanks! Karan
59,"@Snapdeal_Help 
@1kunalbahl
Do not send such but refund me https://t.co/35nCaEIJUz"
60,"@theRohitBansal
@Snapdeal_Help

Refund me"
61,@PavanSh64372194 Hi! Our team got in touch with you and updated you on the refund. Thanks! Karan
62,"@snapdeal 
Ban this"
63,"@Snapdeal_Help
@snapdeal
@police
@PMOIndia 
Ban on snapdeal .this is befooling Indians. It did not  refund me my amount  since 2 months .so urge to PM to ban it fully in India. 
It is very corrupted online company. I have written  many times it but no refund me ."
64,@Flipkart what happened  you  also want become  another snapdeal 😂
65,"All the e-commerce websites still not stating the original country of origin of the products. Why?
@Flipkart @myntra @amazonIN @snapdeal  @narendramodi @consaff"
66,"@Shrek24774265 We tried reaching out to you, but couldn't get through. We will get in touch with you tomorrow between 9 AM- 6 PM. Appreciate your patience. Thanks! Avi"
67,"It's 24 hours passed as per @snapdeal @Snapdeal_Help communication. Still no action on the ground, all routine replies. When will you take up my issue @snapdeal ?? Your grievance redressal system is way below the mark compared to @amazonIN @Flipkart https://t.co/NWVXBz2HcU https://t.co/yITm1du9CZ"
68,"HealthXP Premium Series PRO CGT 250Gm (Green Apple) at 784 

@SrinivasFitness 

Price comparison :

Healthkart@1500
Paytmall@899
Flipkart, Snapdeal @ 900

https://t.co/KdAPV97aYt"
69,"@saifsaiyed25 I am so sorry as this has not been a delightful experience for you. However, we've shared your feedback with the concerned team and will try not to repeat such instance in future. Thanks! Avi"
70,"HealthXP Premium Series PRO CGT 250Gm (Green Apple)

₹784

https://t.co/5yGwOSBOtB

Price comparison :

Healthkart@1500
Paytmall@899
Flipkart, Snapdeal @ 900"
71,@rohitkbansal @snapdeal @Snapdeal_Help Today'sdelivery agent behaviornotforgettabley xpressbees service agent is don't now to talk with cust
72,@rohitkbansal @snapdeal @Snapdeal_Help pls give proper training to your delivery agentlearn somethingfrom Flipkart &amp; Amazon delivery service
73,"@princepandey297 Hi! We’ve responded you via Private Message, please check. Thanks! Karan"
74,"@Snapdeal_Help @Snapdeal_Help
 I am very disappointed #snapdeal my payment high deducted  pls check other wise legal action my side #fraudsnapdeal #snapdeal"
75,"@princepandey297 Hi! Apologies for this experience, please reach out to us via Private Message to share your details &amp; we'll be happy to assist you. Thanks! Karan  https://t.co/1qRWCpRlvq"
76,@Snapdeal_Help I am very disappointed #snapdeal my payment high deducted #snapdeal #fraud
77,@Spiritual_Sri Hi! We sincerely regret to know this. We are getting this checked and will ensure this is sorted out on priority. Thanks! Avi
78,"@Snapdeal_Help @snapdeal @Snapdeal_Help 
You people are getting on to my nerves now. I shared my bank details &amp; I received refund 4 one Kurti. Now I get a mail requesting for bank details again for the refund for the 2nd Kurti.  Pull up your socks and get this sorted out https://t.co/1eVw7pVvgs"
79,"@Flipkart why do you guys block the customers account.....!
@snapdeal @TataCLiQ @JioMart_Support do you guys also blocks the customer account if they do shopping more from your sites or from your portal...!"
80,"@PynshaiPeter Hi! We are extremely apologetic for the inconvenience you had to face. We would like to work upon this issue. Therefore, we request you to share your order ID with us via Private Message. Thanks! Avi  https://t.co/1qRWCpRlvq"
81,@snapdeal what he'll happened to you guys I have put an order for longer than I could remember in my location there no lockdown but I am getting a message that it's lockdown in my location fake news...
82,"BEARDO Analogue Men's Watch (Multicolour Dial Silver Colored Strap) (Pack of 3)
Buy now :https://t.co/2ZAxTyfI4T

#watches #handmade #men #metalstrap #India #Mumbai #Delhi #bestwatches #beardo #combo #clocks #goodlooking #Amazon #flipkart #snapdeal #topdeals https://t.co/VTroLaN8jU"
83,@NischalRishabh Thank you for sharing this with us. Getting this checked with the concerned team and will update you. Thanks! Avi
84,@Snapdeal_Help Order had been picked up. Now initiate the refund
85,"What is happening to me can happen to anyone.Their lack of appetite &amp; aptitude for customrdelight has lead to mystery,waste of time &amp; energ. @AmitAgarwal I feel pity for u. @Flipkart @binnybansal @_sachinbansal @snapdeal u need to learn frm their such brazen display of injustice https://t.co/s9fm5WBp31"
86,"RT @AshishforSSR: #ChineseApp 

When 43 Chinese apps are banned

Why not ban 

Flipkart
Snapdeal
Zomato

They also backed by Chinese compan…"
87,@Ayushyee1 Hi! Our respective team has got in touch with you and updated you on the issue. Thanks! Avi
88,"@OzaAlka1 Hi! Product badalwane mein hum aapki madad karenge. Kripaya product ka order ID aap hamare saath nich diye hue link par click karke share kare. Thanks, Parv  https://t.co/1qRWCpRlvq"
89,"RT @sunitapb: The book is now available on: 
https://t.co/xjlNVtcIO7
https://t.co/OJrCfnepqF
https://t.co/cCeT9Bfrbn
https://t.co/5W9YAnGLE…"
90,"https://t.co/dJAItwZFUe

Shankh

Rs. 599

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfaction to our customers. https://t.co/W2S0AhqMjp"
91,"https://t.co/dW02YJiO6j

Laddu Gopal 

Rs. 799

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfaction to our customers. https://t.co/NgyNGIEKJh"
92,"https://t.co/5XCymHNG9S

Hear Massager

Rs. 249

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfaction to our customers. https://t.co/olJ1BhqryI"
93,"@rishabh_tuktuk We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks! Avi

https://t.co/1qRWCpRlvq"
94,@rishabh_tuktuk Hi! Very sorry for the inconvenience. I've noted down the details. I'll get this checked &amp; connect with you. Thanks! Avi
95,"RT @zunpulse: Carry your home in your mobile phone.

Welcome to the future of living!
Buy #zunpulse smart devices from Amazon, Flipkart or…"
96,"RT @zunpulse: zunpulse is #smart, so you can be lazy even on a Monday morning. 😴

Grab your #zunpulse smart devices from Amazon, Flipkart o…"
97,"Be the Big Boss of your smart home with the zunpulse smart camera. Introduce a modern security system TODAY!

Buy #zunpulse smart devices from Amazon, Flipkart or Snapdeal
#IoT #hometech #technology #smarthome #BigBoss https://t.co/IQuZQZ4gMv"
98,"https://t.co/ulsmjpdmTf

Women's Clutch, Design-1314

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/76pbMDboWW"
99,"https://t.co/lz3I9jar42

 Women's Clutch, Design-1313

Rs. 349

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/TuEMJj7IIz"
100,"https://t.co/3FsYCaWUrA

Women's Clutch, Design-1316

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/0JU9SG8F6q"
101,@preettkamall Mankirt from snapdeal 😂
102,"https://t.co/sbg2zW9x5S

Women's Clutch, Design-1314

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/iLLroIUFFn"
103,"https://t.co/OsRC4XnqNj

Women's Clutch, Design-1313

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/gY0Sizcs41"
104,"https://t.co/xrj0L5wPVv

Women's Clutch,Design-1311

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/vcLMxDY2Nw"
105,"https://t.co/VVuBBSQtzA

Women's Clutch, Design-1308

Rs. 199

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/sRb1JF1HA8"
106,"https://t.co/56oi6xfcL8

Women's Clutch, Design-1306

Rs. 199

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers. https://t.co/7hPEZhuTTl"
107,@saifsaiyed25 Hi! Sincere apologies for the unpleasant experience. I've shared this with my team and we'll connect with you soon regarding this. Thanks! Avi
108,"https://t.co/xoScYtE5uV

Handicraft Party Wear Embroidered Box Clutch 

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the maximum satisfacion to our customers https://t.co/qWVyFFYhdd"
109,"@saifsaiyed25 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks! Avi

https://t.co/1qRWCpRlvq"
110,@SantoshKurella Hi! I've shared this with my team. We'll connect with you soon regarding this. Thanks! Shreya
111,@saifsaiyed25 Hi! I apologize for the disappointing experience you've had. We certainly didn't expect this to happen. Let me get this checked for you and set it right. Thanks! Avi
112,@Snapdeal_Help I am quite surprised to see such kind of a reply. What was updated telling that its not from you and you don't have any stake. Snapdeal contacted me when it happened last time. I again received a letter day before yesterday. Do u maintain secrecy of customer data is still unclear
113,"@SanjayGupta_26 Thanks, we're happy to hear this 🙂"
114,@snapdeal #Snapdeal has always been my favourite online shopping website ever since its inception. I was so happy to know from your CEO @1kunalbahl's latest interview that your company is bouncing back to winning ways: https://t.co/lX8XFu7NB2
115,"https://t.co/bMbS7RaqNd

Religious Laxmi Ganesha Idols for Diwali Puja/Worship/Decor/Positivity

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. https://t.co/V13VvkvcVn"
116,"https://t.co/0LHrPPyRw4

Religious Laxmi Ganesha Idols for Diwali Puja/Worship/Decor/Positivity

Rs. 399

Our brands believes to provide the good quality products to our customer so that customer will get satisfaction as they want. https://t.co/hgkvUQAH7l"
117,"@DrGauravGarg4 If govt really want to hurt China, then it should ban china backed Big Basket, Byju's,Delhivery,Dream 11, Flipkart, Hike, MakeMyTrip,Ola, Oyo, Paytm,Paytm Mall, PolicyBazzar,Quikr, Rivigo, Snapdeal, Swiggy, Uddan,Zomato, Chinese mobiles, except these everything is just a drama."
118,"ETRetail | Bureau of Indian Standards to bring service norms for e-commerce companies, aggregators #Bis #OlaCabs #SnapDeal #Flipkart #Airbnb https://t.co/VbJzxZdpVJ"
119,@dhruv_rathee Copycat business models don't work anymore. No one will invest in copycat business models in the era of globalization. Everyone has learnt the lesson from flipkart and snapdeal. Amazon won while these went for a bailout. So its a big No to copycat businesses
120,@pkesh2004 Our team got in touch with you and updated you on the issue. Thanks! Avi
121,"Rem. No. 08 @snapdeal  Despite of repeated reminders, the refund is still awaited for a prepaid consignment undelivered  &amp; cancelled. Very disgusting. @snapdeal definitely needs a thorough  overhauling in total. 8178082002."
122,"After being on the verge of shutting down in 2017 following a failed merger with Flipkart, the Gurugram-headquartered company has seen revenue surge and unique customers grow by focusing on value e-commerce 

#believeindia #india #snapdeal #ecommerce 
 https://t.co/UbDmmAWjc5"
123,@SantoshKurella We've already updated you on this. Do let us know if you need any further help. Thanks! Sam
124,"@Snapdeal_Help @snapdeal @ConsumerCourt_ @consumercourtin 
Dear Snapdeal 
Do you people have any information security policy w.r.t. customers information. We are getting annoying calls and letters from fraudsters. Please clarify"
125,"BEWARE DO NOT BUY FROM SARAF FURNITURES. CHEATS AND FRAUD. ORDER DELAYED, REFUND COMMITTED, BEEN WEEK NOT RECEIVED. NO ONE RESPONDS. @Saraffurniture @amazon @Flipkart @snapdeal @1kunalbahl. remove them from your websites otherwise many customers will get duped"
126,"@Sandeep32131732 Let me look into this for you. Just PRIVATE MESSAGE your order ID by clicking the below link and I will get on it soon. Waiting, Sam
https://t.co/1qRWCpRlvq"
127,I Sandeep Arora Purchase a Track Pent online n made Payment. After few Days they show me someone's Sign. But still not receive my order. Continue they telling me to wait for refund but today more then a month no response from snapdeal....
128,"@Sandeep32131732 Hi! So sorry to disappoint you, something seems off. Please elaborate on what went wrong via PRIVATE MESSAGE by clicking the below link. We’d like to check and get it right for you. Thanks! Sam
https://t.co/1qRWCpRlvq"
129,Please Don't Buy any thing at Snapdeal
130,"#ChineseApp 

When 43 Chinese apps are banned

Why not ban 

Flipkart
Snapdeal
Zomato

They also backed by Chinese companies..

@PMOIndia 
@AmitShah"
131,"RT @tribesindiajpr: Lets tour of Tribes India. 
There is something for everyone.
Something for every member of the family for generations.…"
132,"@narendramodi - Maybe you should also ban @Paytm @zomato @bigbasket_com @snapdeal because they are all part owned by Ant Group or Alibaba Group right? 

Why have you spared them?"
133,"@snapdeal I HAVE ORDER FOR DR MORPEN GLUCO METER BG03, VIDE ORDER ID NO 30908479386, I HAVE RECEIVED THE DAMAGE PRODUCT. NEITHER YOU ARE ARRANGING TO COLLECT BACK, NOR REFUND MY MONEY. NO OTHER ALTERNATE TO GO TO CONSUMER COURT. REGARDS
KANAKBEN KIRITKUMAR BAGDAI 9408751587"
134,"@KIRITKUMABAGDAI We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks! Sia   https://t.co/1qRWCpRlvq"
135,@KIRITKUMABAGDAI Hi! So sorry to disappoint you. I’ve shared this with my team. We'll connect with you soon regarding this. Thanks! Sia
136,"@snapdeal I HAD ORDERED FOR DR MORPEN GLUCO METER BG03. I RECEIVED THE DAMAGE PRODUCT. DESPITE OF MY REPEATED REQUESTS NEITHER THE CO HAS REPLIED NOR REFUND MY MONEY.
MY ORDER ID IS 37908479386."
137,"Carry your home in your mobile phone.

Welcome to the future of living!
Buy #zunpulse smart devices from Amazon, Flipkart or Snapdeal and live smart.

#smarthome #IoT #technology #hometech https://t.co/O8tAkQILyu"
138,"@Amandachamp01 @myntra @amazonIN @snapdeal I am just waiting for their reply,if they won't reply then surely I will file a FIR in ""Barakhamba Road Police Station"" against them..."
139,"This is very shameful for such a multi-billion e-commerce company. Flipkart is popular because of their costumer. File a FIR against them,then only they will understand.@myntra @amazonIN @snapdeal https://t.co/hZ5iCckdLB"
140,"￼How Do Ecommerce Sites Offer Free Shipping | Ecommerce Marketing Strategy | Free Shipping Ecommerce

Video link - https://t.co/5DlVjv7W18

subscribe - https://t.co/l9Q5DMqeKK

#education #ecommerce #flipkart #amazon #snapdeal #abhishekanand4u #learnandearn #tips #tutorials https://t.co/1ChOjjK94n"
141,"@Gadgets360 @OfficeOfRSP @rsprasad @GoI_MeitY @DSCI_Connect 
@narendramodi 

Ban USA apps too... Let atmanirbhar app flourish..

Ban sale of all Indian apps to USA companis

Paytm
Ola
Flipkart
Snapdeal
Myntra

All are foreign apps now"
142,@NischalRishabh I've shared this with my team. We'll connect with you soon regarding this. Thanks! Sam
143,@Snapdeal_Help I want to cancel the replacement and take back  the product and please provide the refund
144,"Ali Baba banned by GoI? ... well, apps being banned is like a smack on the wrist, if not the knuckles .... the real test will be the Chinese PE investments in the Indian unicorns. @Paytm @snapdeal and a host of others. https://t.co/0FrdQMxfrd"
145,@NischalRishabh So sorry for the trouble. We will connect with you at the earliest and help you out. Thanks! Sam
146,@Flipkart is better than @snapdeal the order 44117534369 need to be picked up by today and now delayed by 48 hrs. Atleast @Flipkart shipped the replacement but @snapdeal waits for 48 hrs. I am done with @snapdeal not gonna purchase there again.
147,@snapdeal stop selling Rhea Chakravarty's Posters online through your channel
148,"@robiul1897 So sorry, believe me this not a usual Snapdeal experience! I’ll need your order number to start, please share it to our PRIVATE MESSAGE by clicking the below link. Thanks! Parv  https://t.co/1qRWCpRlvq"
149,"@snapdeal stop providing parcels to @delhivery @EcomExpress_Ofc as they don't provide address specific delivery and asks customers to collect from their road side sitting location which far away from mentioned address, https://t.co/xWRqBnpXni"
150,@Shrek24774265 Please allow us sometime. We will connect with you at the earliest and help you out. Thanks! Parv
151,"@Dheeraj47115666 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private message"" by clicking the below link. Thanks, Parv  https://t.co/1qRWCpRlvq"
152,"@Dheeraj47115666 Hi! Very sorry for the inconvenience caused, we've noted down the order ID &amp; I'll get this checked &amp; connect with you. Thanks! Parv"
153,"@Snapdeal_Help This is because, your courier partner FedEx executive again requested today to approach you as @snapdeal is not responding to them for processing return"
154,"@Shrek24774265 Our team got in touch with you and updated you on this via email. As discussed, kindly wait till the requested time. Thanks! Parv"
